Query Description,ProblemStatement,Closure Comment,InternalRCA
Unable to get response from newgen API,"We are using custom portal over iBPS 5.0 SP2 Patch1. When clicking ""Submit"" button to move transaction to next workstep, we are unable to receive a response from process specific java code.",Issue resolved after importing the missing dependencies in the process specific war file.,
Unable to register the service.,"While we are trying to register a new process service in configuration server, we are getting an error ""Connection broken"" for a specific service, also while  trying to register a new port, at that time also we are getting an error ""error in connecting  to WFS"".
Please find the attachment for any clarrification.
Version :- OmniFlow 10.3","As discussed, kindly do not test environment with mailing agent and initiation agent services as it will not run with Newgen's mailId as Newgen's mailId are Microsoft based and for using Microsoft mailing server, reporter have to deploy the release provided from product end earlier.","As discussed, kindly do not test environment with mailing agent and initiation agent services as it will not run with Newgen's mailId as Newgen's mailId are Microsoft based and for using Microsoft mailing server, reporter have to deploy the release provided from product end earlier."
For listed loans app substage is marked as Closed,,"As discussed over the call, the query configured for the schedular is not correct, that is why all the records of external table are getting updated. Kindly update the schedular with correct query.",
"In Worklist, Can't assign to me all workitem",,Client resolved by their own after providing the rights.,
Error in executing executeAPI,,Provided the document for ibps rest services,Provided the document for ibps rest services
Customer Need to Upgrade their WebSphere,,We haven't faced any issue in upgrading websphere from 9.0.5.7 to 9.0.5.11. As such you are upgrade the minor version of Websphere,
customValidation method not working,,call method from client.js,
UserDesktop Configuration,When any user login to ibps user webdesktop they should be able to see by default the Intiation queue with NEW button and they shoul be able to see the introduced by own on all queue. Please help with the configuration. I have tried changing queue id in component instance but it is not working properly.,screenshots for the reported query has been shared over mail.,screenshots for the reported query has been shared over mail.
Data Saving Issue,"We are using fragment inside our form So, Data is not saving in DB and also when we click on back button data not present in form also.","As discussed, issue was due to process mapping.",
How to hide prev & next button on workitem open,How to hide the prev & next button displayed on the top right side while workitem open. Please find the attached screenshot for reference,"To hide the prev next button return false in below function in client.js location(webdesktop.war/resources/scripts) and take the restart of the Application and take Server restart and check.

function PrevClick()
{
      return false;
}


function NextClick()
{
    return false;
}","To hide the prev next button return false in below function in client.js location(webdesktop.war/resources/scripts) and take the restart of the Application and take Server restart and check.

function PrevClick()
{
      return false;
}


function NextClick()
{
    return false;
}"
Need lastest hotifix or Patch,I have deployed IBPS 5.0 SP3 and omnidocs 11 SP1 as a fresh installation. if any latest patch and hotifix is present then Please provide hotifix,There is no Hotfix over iBPS 5 SP3 and OD 11 SP1.,There is no Hotfix over iBPS 5 SP3 and OD 11 SP1.
Uploading specific types of documents,"We want to allow only PDF,TIFF and JPEG files to be uploaded in our grid specific for a process. Currently, system is allowing to upload all types of documents.",Client need to handle the file restriction at infra level.,
Requested Operation Failed on opening a workitem,We have imported STAFF LOS process from SP0 to SP2 and deployed the war after that we are getting requested operation failed while opening the work item.,While importing process a table was missed and due to which error was coming .It was resolved after creating that table.,While importing process a table was missed and due to which error was coming .It was resolved after creating that table.
Workitem is not getting Routed to next workstep,,Issue resolved by reporter,Issue resolved by reporter
Place holder on UI,Need of placeholder on table cell,Provided solution for placeholder on table cell through custom code.,NA
Omniapp login portal not loading.,NA,What is pending at product End ? Already communicated for the reported issue to check with Application server team as this is related to some App server Setting.,NA
